	summarized	lineages	abundances	resid	coverage
ERR5014649.fastq	[('Other', 0.9952939999947952)]	B.1.1.161	0.99529400	0.18808298812728919	60.13723849372385
ERR5014645.fastq	[('Other', 0.9999999999998934)]	B.12 B.23 B.27 B.1.14 B	0.20000000 0.20000000 0.20000000 0.20000000 0.20000000	0.7485240907520297	60.13723849372385
ERR5019825.fastq	[('Other', 0.9999999999967258)]	B.1.1.161 B.12 B.23 B.27 B.1.14 B	0.98815200 0.00236960 0.00236960 0.00236960 0.00236960 0.00236960	0.1867333480179744	60.13723849372385
ERR5014664.fastq	[('Other', 0.9999999999941288)]	B.1.1.161 B.12 B.23 B.27 B.1.14 B	0.99441300 0.00111740 0.00111740 0.00111740 0.00111740 0.00111740	0.1879165035385176	60.13723849372385
ERR5014699.fastq	[('Other', 0.999999999999544)]	B.12 B.23 B.27 B.1.14 B	0.20000000 0.20000000 0.20000000 0.20000000 0.20000000	0.9837601134309911	60.13723849372385
ERR5019793.fastq	[('Other', 0.9999999999948306)]	B.1.1.161 B.12 B.23 B.27 B.1.14 B	0.99125900 0.00174820 0.00174820 0.00174820 0.00174820 0.00174820	0.18732048492985076	60.13723849372385
ERR5014708.fastq	[('Other', 0.9974519999952371)]	B.1.1.161	0.99745200	0.1884907903324025	60.13723849372385
ERR5019804.fastq	[('Other', 0.9999999999995581)]	B.12 B.23 B.27 B.1.14 B	0.20000000 0.20000000 0.20000000 0.20000000 0.20000000	1.734538461638402e-12	60.13723849372385
ERR5014712.fastq	[('Other', 0.9999999999941244)]	B.1.1.161 B.12 B.23 B.27 B.1.14 B	0.99390200 0.00121960 0.00121960 0.00121960 0.00121960 0.00121960	0.18781993869745375	60.13723849372385
ERR5019789.fastq	[('Other', 0.9999999999995581)]	B.12 B.23 B.27 B.1.14 B	0.20000000 0.20000000 0.20000000 0.20000000 0.20000000	1.734538461638402e-12	60.13723849372385
ERR5019774.fastq	[('Other', 0.9999999999995581)]	B.12 B.23 B.27 B.1.14 B	0.20000000 0.20000000 0.20000000 0.20000000 0.20000000	1.734538461638402e-12	60.13723849372385
ERR5014683.fastq	[('Other', 0.9955559999949682)]	B.1.1.161	0.99555600	0.18813249886755548	60.13723849372385
ERR5014672.fastq	[('Other', 0.996521999993944)]	B.1.1.161	0.99652200	0.7641811479919659	60.13723849372385
ERR5019785.fastq	[('Other', 0.9999999999999974)]	B.1.1.301 B.1.1.514 B.12 B.23 B.27 B.1.14 B	0.48764250 0.48764250 0.00494300 0.00494300 0.00494300 0.00494300 0.00494300	0.58036921403993	60.13723849372385
ERR5019778.fastq	[('Other', 0.9999999999995581)]	B.12 B.23 B.27 B.1.14 B	0.20000000 0.20000000 0.20000000 0.20000000 0.20000000	1.734538461638402e-12	60.13723849372385
ERR5019812.fastq	[('Other', 0.9999999999954615)]	B.1.1.161 B.1.1.301 B.1.1.514 B.12 B.23 B.27 B.1.14 B	0.67590100 0.15135450 0.15135450 0.00427800 0.00427800 0.00427800 0.00427800 0.00427800	0.23420268511777115	60.13723849372385
ERR5014653.fastq	[('Other', 0.9999999999962352)]	B.1.1.161 C.36 C.14 C.25 C.27 C.35 B.1.1.1 B.1.1.372 B.12 B.23 B.27 B.1.14 B	0.88133400 0.01544400 0.01544400 0.01544400 0.01544400 0.01544400 0.01544400 0.01544400 0.00211160 0.00211160 0.00211160 0.00211160 0.00211160	0.018745326196080513	60.13723849372385
ERR5019833.fastq	[('Other', 0.9999999999999666)]	B.12 B.23 B.27 B.1.14 B	0.20000000 0.20000000 0.20000000 0.20000000 0.20000000	0.025364371927705312	60.13723849372385
ERR5014696.fastq	[('Other', 0.9999999999995581)]	B.12 B.23 B.27 B.1.14 B	0.20000000 0.20000000 0.20000000 0.20000000 0.20000000	1.734538461638402e-12	60.13723849372385
ERR5019761.fastq	[('Other', 0.9999999999941186)]	B.1.1.161 B.12 B.23 B.27 B.1.14 B	0.99397600 0.00120480 0.00120480 0.00120480 0.00120480 0.00120480	0.18783392264704435	60.13723849372385
ERR5014707.fastq	[('Other', 0.9984889999992245)]	B.1.1.161	0.99848900	0.18868675459588502	60.13723849372385
ERR5019807.fastq	[('Other', 0.9999999999725152)]	B.1.1.161 B.12 B.23 B.27 B.1.14 B	0.98223500 0.00355300 0.00355300 0.00355300 0.00355300 0.00355300	0.41936961381948573	60.13723849372385
ERR5019790.fastq	[('Other', 0.9999999999972153)]	B.1.1.161 B.12 B.23 B.27 B.1.14 B	0.98571400 0.00285720 0.00285720 0.00285720 0.00285720 0.00285720	0.0005414056190371343	60.13723849372385
ERR5014667.fastq	[('Other', 0.9999999999899879)]	B.1.1.161	1.00000000	0.00858973553297463	60.13723849372385
ERR5019826.fastq	[('Other', 0.9999999999997157)]	B.12 B.23 B.27 B.1.14 B	0.20000000 0.20000000 0.20000000 0.20000000 0.20000000	0.8522367623358529	60.13723849372385
ERR5014646.fastq	[('Other', 0.9999999999995581)]	B.12 B.23 B.27 B.1.14 B	0.20000000 0.20000000 0.20000000 0.20000000 0.20000000	1.734538461638402e-12	60.13723849372385
ERR5014680.fastq	[('Other', 0.999999999963139)]	B.1.1.161 B.12 B.23 B.27 B.1.14 B	0.99288900 0.00142220 0.00142220 0.00142220 0.00142220 0.00142220	0.4163900616709922	60.13723849372385
ERR5014711.fastq	[('Other', 0.9999999999995581)]	B.12 B.23 B.27 B.1.14 B	0.20000000 0.20000000 0.20000000 0.20000000 0.20000000	1.734538461638402e-12	60.13723849372385
ERR5019777.fastq	[('Other', 0.9999999999995408)]	B.12 B.23 B.27 B.1.14 B	0.20000000 0.20000000 0.20000000 0.20000000 0.20000000	0.7485240907524208	60.13723849372385
ERR5014633.fastq	[('Other', 0.9999999999963716)]	B.1.1.301 B.1.1.514 B.1.1.161	0.49838700 0.49838700 0.00322600	0.35121906201778796	60.13723849372385
ERR5019830.fastq	[('Other', 0.9999999999995581)]	B.12 B.23 B.27 B.1.14 B	0.20000000 0.20000000 0.20000000 0.20000000 0.20000000	1.734538461638402e-12	60.13723849372385
ERR5014650.fastq	[('Other', 0.9999999999996254)]	B.12 B.23 B.27 B.1.14 B	0.20000000 0.20000000 0.20000000 0.20000000 0.20000000	0.7208010040031229	60.13723849372385
ERR5019811.fastq	[('Other', 0.9999999999986785)]	B.1.1.161 B.12 B.23 B.27 B.1.14 B	0.97891600 0.00421680 0.00421680 0.00421680 0.00421680 0.00421680	0.0003804012247806835	60.13723849372385
ERR5019786.fastq	[('Other', 0.9999999999944272)]	B.1.1.161 B.12 B.23 B.27 B.1.14 B	0.98078800 0.00384240 0.00384240 0.00384240 0.00384240 0.00384240	0.1440700642808205	60.13723849372385
ERR5014671.fastq	[('Other', 0.999999999997211)]	B.1.1.161 B.1.1.301 B.1.1.514	0.59323200 0.20338400 0.20338400	0.2551826807014938	60.13723849372385
ERR5014706.fastq	[('Other', 0.999999999999971)]	B.12 B.23 B.27 B.1.14 B	0.20000000 0.20000000 0.20000000 0.20000000 0.20000000	0.028098943947207314	60.13723849372385
ERR5019760.fastq	[('Other', 0.999999999998216)]	B.1.1.301 B.1.1.514 B.12 B.23 B.27 B.1.14 B B.1.1.161	0.49216800 0.49216800 0.00285720 0.00285720 0.00285720 0.00285720 0.00285720 0.00137800	0.6617104816584656	60.13723849372385
ERR5014697.fastq	[('Other', 0.9957359999951353)]	B.1.1.161	0.99573600	0.1881665138799087	60.13723849372385
ERR5014666.fastq	[('Other', 0.9999999999591362)]	B.1.1.161 B.12 B.23 B.27 B.1.14 B	0.98239400 0.00352120 0.00352120 0.00352120 0.00352120 0.00352120	0.1856452455872916	60.13723849372385
ERR5019806.fastq	[('Other', 0.9999999999832965)]	B.1.1.161 B.1.126 B.12 B.23 B.27 B.1.14 B	0.93737100 0.04494400 0.00353700 0.00353700 0.00353700 0.00353700 0.00353700	0.19294593579247077	60.13723849372385
ERR5019791.fastq	[('Other', 0.9999999999817808)]	B.1.1.161 B.12 B.23 B.27 B.1.14 B	0.96774200 0.00645160 0.00645160 0.00645160 0.00645160 0.00645160	0.18287642355458614	60.13723849372385
ERR5014647.fastq	[('Other', 0.9999999999995581)]	B.12 B.23 B.27 B.1.14 B	0.20000000 0.20000000 0.20000000 0.20000000 0.20000000	1.734538461638402e-12	60.13723849372385
ERR5019827.fastq	[('Other', 0.9999999999989564)]	B.12 B.23 B.27 B.1.14 B	0.20000000 0.20000000 0.20000000 0.20000000 0.20000000	0.18552638199193852	60.13723849372385
ERR5019776.fastq	[('Other', 0.9999999999793372)]	B.1.1.161 B.12 B.23 B.27 B.1.14 B	0.97456000 0.00508800 0.00508800 0.00508800 0.00508800 0.00508800	0.18416483664109792	60.13723849372385
ERR5014710.fastq	[('Other', 0.9999999999992459)]	B.1.1.161	1.00000000	0.188599260424908	60.13723849372385
ERR5014681.fastq	[('Other', 0.9999999999991132)]	B.1.1.161 B.12 B.23 B.27 B.1.14 B	0.98333300 0.00333340 0.00333340 0.00333340 0.00333340 0.00333340	0.8294333646566554	60.13723849372385
ERR5014651.fastq	[('Other', 0.9999999999995581)]	B.12 B.23 B.27 B.1.14 B	0.20000000 0.20000000 0.20000000 0.20000000 0.20000000	1.734538461638402e-12	60.13723849372385
ERR5019831.fastq	[('Other', 0.9999999999611254)]	B.1.1.161 B.12 B.23 B.27 B.1.14 B	0.98148100 0.00370380 0.00370380 0.00370380 0.00370380 0.00370380	0.18547271388371742	60.13723849372385
ERR5014670.fastq	[('Other', 0.9966779999957037)]	B.1.1.161	0.99667800	0.18834452577818014	60.13723849372385
ERR5019810.fastq	[('Other', 0.9999999999802176)]	B.1.1.161 B.12 B.23 B.27 B.1.14 B	0.97029700 0.00594060 0.00594060 0.00594060 0.00594060 0.00594060	0.18335924776106524	60.13723849372385
ERR5019787.fastq	[('Other', 0.9999999999989606)]	B.12 B.23 B.27 B.1.14 B	0.20000000 0.20000000 0.20000000 0.20000000 0.20000000	0.18587843737143228	60.13723849372385
